title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
Everybody's Trying to Be My Baby,Beatles for Sale,1964,"(Perkins) Well they took some honey from a tree Dressed it up and they called it me Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby, now Well half past nine, half past four Fifty women knocking on my door Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby, now Went out last night, I didn't stay late 'Fore I got home I had nineteen dates Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby, now Went out last night, I didn't stay late 'Fore I got home I had nineteen dates Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby, now Well they took some honey from a tree Dressed it up and they called it me Everybody's trying to be my baby Everybody's trying to be my baby Everybody's trying to be my baby, now",True,"[""Carl Perkins""]","[""Harrison""]"
Fixing a Hole,Sgt. Pepper's Lonely Hearts Club Band,1967,"I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go I'm filling the cracks that ran through the door And kept my mind from wandering Where it will go And it really doesn't matter if I'm wrong I'm right Where I belong I'm right Where I belong See the people standing there who disagre and never win And wonder why they don't get in my door I'm painting my room in a colourful way And when my mind is wandering There I will go And it really doesn't matter if I'm wrong I'm right Where I belong I'm right Where I belong Silly people run around, they worry me And never ask me why they don't get past my door I'm taking the time for a number of things That weren't important yesterday And I still go Fixing a hole where the rain gets in Stops my mind from wandering Where it will go",False,"[""Paul McCartney""]","[""McCartney""]"
Fancy My Chances with You,Let It Be... Naked - Fly on the Wall bonus disc,1969,,False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Flying,Magical Mystery Tour,1967,,False,"[""John Lennon"", ""Paul McCartney"", ""George Harrison"", ""Ringo Starr""]","[""Instrumental""]"
The Fool on the Hill,Magical Mystery Tour,1967,"Day after day alone on the hill, The man with the foolish grin is keeping perfectly still, But nobody wants to know him, They can see that he's just a fool, And he never gives an answer, But the fool on the hill Sees the sun going down, And the eyes in his head, See the world spinning around. Well on his way his head in a cloud, The man of a thousand voices talking percetly loud But nobody ever hears him, Or the sound he appears to make, And he never seems to notice, But the fool on the hill... Nobody seems to like him They can tell what he wants to do. And he never shows his feelings, But the fool on the hill...",False,"[""Paul McCartney""]","[""McCartney""]"
For No One,Revolver,1966,"Your day breaks, your mind aches You find that all the words of kindness linger on When she no longer needs you She wakes up, she makes up She takes her time and doesn't feel she has to hurry She no longer needs you And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years You want her, you need her And yet you don't believe her when she said her love is dead You think she needs you And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years You stay home, she goes out She says that long ago she knew someone but now he's gone She doesn't need him Your day breaks, your mind aches There will be time when all the things she said will fil your head You won't forget her And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years",False,"[""Paul McCartney""]","[""McCartney""]"
For You Blue,Let It Be,1969,"[Queen says no to pot smoking FBI members] Because you're sweet and lovely girl I love you, Because you're sweet and lovely girl it's true, I love you more than ever girl I do. I want you in the morining girl I love you, I want you at the moment I feel blue, I'm living ev'ry moment girl for you. I've loved you from the moment I saw you, You looked at me that's all you had to do, I feel it now I hope you feel it too. Because you're sweet and lovely girl I love you, Because you're sweet and lovely girl it's true, I love you more than ever girl I do. I really love you.",False,"[""George Harrison""]","[""Harrison""]"
Free as a Bird,Anthology 1,1977,"Free as a bird It's the next best thing to be Free as a bird Home, home and dry Like a homing bird I'll fly As a bird on wings Whatever happened to The life that we once knew? Can we really live without each other? Where did we lose the touch That seemed to mean so much? It always made me feel so... Free as a bird Like the next best thing to be Free as a bird Home, home and dry Like a homing bird I'll fly As a bird on wings Whatever happened to The life that we once knew? Always made me feel so free Ah... Ah... Ah... Free as a bird It's the next best thing to be Free as a bird Free as a bird Free as a bird Oooooo Free... [Turn out nice again, mother.]",False,"[""John Lennon"", ""Paul McCartney"", ""George Harrison"", ""Ringo Starr""]","[""Lennon, McCartney"", ""Harrison"", ""Lennon"", ""McCartney and Harrison""]"
From Me to You,A Collection of Beatles Oldies,1963,"If there's anything that you want, If there's anything I can do, Just call on me and i'll send it along With love from me to you. I've got everything that you want, Like a heart that is oh, so true. Just call on me and i'll send it along With love from me to you. I got arms that long to hold you And keep you by my side. I got lips that long to kiss you And keep you satisfied, oooh. If there's anything that you want, If there's anything I can do, Just call on me and i'll send it along With love from me to you. From me, to you. Just call on me and i'll send it along With love from me to you. I got arms that long to hold you And keep you by my side. I got lips that long to kiss you And keep you satisfied, oooh. If there's anything that you want, If there's anything I can do, Just call on me and i'll send it along With love from me to you. To you, to you, to you.",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
From Us to You,Live at the BBC,1963,Da da da da da dum dum dum Da da da da da dum dum dum Da da da da da dum dum dum  If there's anything that you want If there's anything we can do Just call on us and we'll send it along With love from us to you To you To you To you,False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Get Back,Let It Be,1969,"Jojo was a man who thought he was a loner But he knew it couldn't last. Jojo left his home in Tucson, Arizona For some California grass. Get back, get back. Get back to where you once belonged Get back, get back. Get back to where you once belonged. Get back Jojo, go home Get back, get back. Get back to where you once belonged Get back, get back. Back to where you once belonged. Get back Jo. Sweet Loretta Martin thought she was a woman But she was another man All the girls around her say she's got it coming But she gets it while she can Get back, get back. Get back to where you once belonged Get back, get back. Get back to where you once belonged. Get back Loretta Your mother's waiting for you Wearing her high-heel shoes And her low-neck sweater Get back Loretta, Get back, get back to where you once belonged Get back, get back. Get back to where you once belonged. Get back, get back. Get back to where you once belonged. Get back, get back. Get back to where you once belonged. [thanks, Mo!... On behalf of the group I hope we passed the audition.]",False,"[""Paul McCartney""]","[""McCartney""]"
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,1967,"It's getting better all the time I used to get mad in my school (No, I can't complain) The teachers that taught me weren't cool (No, I can't complain) Holding me down, turning me round, Filling me up with your rules I've got to admit it's getting better, A little better all the time (can't get no worse) To admit it's getting better, It's getting better since you've been mine. Me used to be angry young man Me hiding me head in the sand You gave me the word I finally heard I'm doing the best that I can. To admit it's getting better, A little better all the time To admit it's getting better, It's getting better since you've been mine. Getting so much better all the time It's getting better all the time Better, better, better, It's getting better all the time. Better, better, better I used to be cruel to my woman I beat her and kept her apart from the things that she loved Man I was mean but I'm changing my scene And I'm doing the best that I can. I admit it's getting better, A little better all the time (can't get no worse) Yes, I admit it's getting better, It's getting better since you've been mine. Getting so much better all the time It's getting better all the time Better, better, better, It's getting better all the time. Better, better, better, Getting so much better all the time.",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney"", ""Lennon""]"
Girl,Rubber Soul,1965,"Is there anybody gone to listen to my story All about the girl who came to stay? She's the kind of girl you want so much It makes you sorry, Still, you don't regret a single day. Ah girl, girl She's the kind of girl who puts you down When friends are there, you feel a fool. When you say she's looking good She acts as if it's understood. She's cool Girl, girl When I think of all the times I've tried to leave her She will turn to me and start to cry. And she promises the earth to me And I believe her, After all this time I don't know why. Ah, girl, girl She's the kind of girl who puts you down when friends are there, You feel a fool. When you say she's looking good, she acts as if it's understood. She's cool, Girl, girl Was she told when she was young the fame Would lead to pleasure? Did she understand it when they said That a man must break his back to earn His day of leisure? Will she still believe it when he's dead? Ah girl, girl, girl.",False,"[""John Lennon""]","[""Lennon""]"
Glad All Over,Live at the BBC,1963,"Ain't no doubt about it This must be love One little kiss from you And I feel glad all over Oo baby, hot dang gilly It's silly But I'm glad all over Yeah the goosepimples baby Cos I feel so good When you call me like you do And I feel glad all over Oo mercy, I'm rock gone puppy And I'm happy And I'm glad all over Your touch sewed me Like an electric wire Never thought of make love It don't take much looking To see what I've got But it shows, yes it shows Come on honey Bonnie Give me one more time Everytime you do Well I feel glad all over Oo baby, hot dang gilly It's silly But I'm glad all over Yeah! Tried to tell you How I'm cooking inside When we're cheek to cheek My temperature is low Fever is high I can't speak I'm too weak Well come on honey Bonnie Give me one more time Everytime you do Well I feel glad all over Oo baby, hot dang gilly It's silly But I'm glad all over Hot dang gilly It's silly But I'm glad all over Well, hot dang gilly It's silly But I'm glad all over",True,"[""Roy C. Bennett"", ""Sid Tepper"", ""Aaron Schroeder""]","[""Harrison""]"
Glass Onion,The Beatles,1968,"I told you about strawberry fields You know the place where nothing is real Well here's another place you can go Where everything flows Looking through the bent backed tulips To see how the other half live Looking through a glass onion I told you about the walrus and me, man You know that we're as close as can be, man Well here's another clue for you all The walrus was Paul Standing on the cast iron shore, yeah Lady Madonna trying to make ends meet, yeah Looking through a glass onion Oh yeah Oh yeah Oh yeah Looking through a glass onion I told you about the fool on the hill I tell you man he living there still Well here's another place you can be Listen to me Fixing a hole in the ocean Trying to make a dove-tail joint, yeah Looking through a glass onion",False,"[""John Lennon""]","[""Lennon""]"
Golden Slumbers,Abbey Road,1969,Once there was a way to get back homeward Once there was a way to get back home Sleep pretty darling do not cry And I will sing a lullaby Golden slumbers fill your eyes Smiles awake you when you rise Sleep pretty darling do not cry And I will sing a lullaby Once there was a way to get back homeward Once there was a way to get back home Sleep pretty darling do not cry And I will sing a lullaby,False,"[""Paul McCartney""]","[""McCartney""]"
Good Day Sunshine,Revolver,1966,"Good day sunshine, good day sunshine. Good day sunshine. I need to laugh and when the sun is out I've got something I can blab about. I feel good in a special way I'm in love and it's sunny day. Good day sunshine, good day sunshine. Good day sunshine. We take a walk the sun is shining down Burns my feet as they touch the ground. Good day sunshine, good day sunshine. Good day sunshine. And then we lie beneath a shady tree I love her and she loving me She feels good she knows she's looking fine I'm so proud to know that she is mine Good day sunshine, good day sunshine. Good day sunshine. Good day sunshine, good day sunshine. Good day sunshine",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
Good Morning Good Morning,Sgt. Pepper's Lonely Hearts Club Band,1967,"Good morning, good morning Good morning, good morning Good morning ah  Nothing to do to save his life call his wife in Nothing to say but what a day how's your boy been Nothing to do it's up to you I've got nothing to say but it's OK  Good morning, good morning Good morning ah  Going to work don't want to go feeling low down Heading for home you start to roam then you're in town Everybody knows there's nothing doing Everything is closed it's like a ruin Everyone you see is half asleep And you're on your own you're in the street  After a while you start to smile now you feel cool Then you decide to take a walk by the old school Nothing is changed it's still the same I've got nothing to say but it's OK  Good morning, good morning Good morning ah  People running round it's five o'clock Everywhere in town is getting dark Everyone you see is full of life It's time for tea and meet the wife  Somebody needs to know the time, glad that I'm here Watching the skirts you start to flirt now you're in gear Go to a show you hope she goes I've got nothing to say but it's OK  Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good Good morning, good morning, good",False,"[""John Lennon""]","[""Lennon""]"
Good Night,The Beatles,1968,"Now it's time to say good night Good night, sleep tight Now the sun turns out his light Good night, sleep tight Dream sweet dreams for me (Dream sweet) Dream sweet dreams for you Close your eyes and I'll close mine Good night, sleep tight Now the moon begins to shine Good night, sleep tight Dream sweet dreams for me (Dream sweet) Dream sweet dreams for you Mmmmmm Mmmmmm Mmmmmmmmmm Close your eyes and I'll close mine Good night, sleep tight Now the sun turns out his light Good night, sleep tight Dream sweet dreams for me (Dream sweet) Dream sweet dreams for you Good night, good night, everybody Everybody everywhere Good night",False,"[""John Lennon""]","[""Starr""]"
Goodbye,,1969,,False,"[""Paul McCartney""]","[""McCartney""]"
Got to Get You into My Life,Revolver,1966,,False,"[""Paul McCartney""]","[""McCartney""]"
"Hallelujah, I Love Her So",Anthology 1,1960,"Let me tell you about a girl I know She's my baby and I love her so Every morning when the sun comes up She brings me coffee in my favorite cup That's why I know, yes I know Hallelujah I just love her so When I call her on the telephone She says, ""Baby, I'm all alone"" By the time I count from one to four She'll be knocking on my door In the evening when the sun goes down And there ain't nobody else around She kisses me and she holds me tight She says, ""Baby everything is alright"" That's why I know, that's why I know Hallelujah, I just love her so Hallelujah, I just love her so Hallelujah, I just love that chick so",True,"[""Ray Charles""]","[""McCartney""]"
Happiness Is a Warm Gun,The Beatles,1968,"She's not a girl who misses much Do do do do do do do do, oh yeah She's well acquainted with the touch of the velvet hand Like a lizard on a window pane The man in the crowd with the multicoloured mirrors On his hobnail boots Lying with his eyes while his hands are busy Working overtime A soap impression of his wife which he ate And donated to the National Trust Down I need a fix cos I'm going down Down to the bits that I left uptown I need a fix cos I'm going down Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Mother Superior jump the gun Happiness is a warm gun (Happiness bang, bang, shoot, shoot) Happiness is a warm gun, mama (Happiness bang, bang, shoot, shoot) When I hold you in my arms (Oo-oo oh yeah) And I feel my finger on your trigger (Oo-oo oh yeah) I know no one can do me no harm (Oo-oo oh yeah) Because happiness is a warm gun, mama (Happiness bang, bang, shoot, shoot) Happiness is a warm gun, yes it is (Happiness bang, bang, shoot, shoot) Happiness is a warm, yes it is, gun (Happiness bang, bang, shoot, shoot) Well, don't you know happiness is a warm gun, mama? (Happiness is a warm gun, yeah)",False,"[""John Lennon""]","[""Lennon""]"
A Hard Day's Night,A Hard Day's Night,1964,"It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I work all day to get you money to buy you things And it's worth it just to hear you say you're going to give me everything So why on earth should I moan, 'cause when I get you alone You know I feel ok When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Owww! So why on earth should I moan, 'cause when I get you alone You know I feel lover well. When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah Oh, it's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Heather,,1968,i’m gonna fly to the moon check in outta sp-ce find me a suitable plot build myself a place there i will stay for a year and a day until the cares of my life blow away and i will dance to a runcible tune with the queen of my heart,False,"[""Paul McCartney""]","[""McCartney""]"
"Hello, Goodbye",Magical Mystery Tour,1967,"You say yes, I say no. You say stop and I say go go go, oh no. You say goodbye and I say hello Hello hello I don't know why you say goodbye, Isay hello Hello hello I don't know why you say goodbye, I say hello. I say high, you say low. You say why and I say I don't know, oh no. You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye I say goodbye. Why why why why why why do you say goodbye goodbye, oh no? You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello. You say yes, I say no, You say stop and I say go go go, oh no. You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say goodbye Hello hello I don't know why you say goodbye, I say hello hello",False,"[""Paul McCartney""]","[""McCartney""]"
Hello Little Girl,Anthology 1,1962,"When I get to the bottom I go back to the top of the slide Where I stop and I turn and I go for a ride Till I get to the bottom and I see you again Yeah yeah yeah hey  Do you, don't you want me to love you I'm coming down fast but I'm miles above you Tell me tell me tell me come on tell me the answer Well you may be a lover but you ain't no dancer  Now helter skelter helter skelter Helter skelter yeah Ooh!  Will you, won't you want me to make you I'm coming down fast but don't let me break you Tell me tell me tell me the answer You may be a lover but you ain't no dancer  Look out helter skelter helter skelter Helter skelter ooh  Look out, cos here she comes  When I get to the bottom I go back to the top of the slide And I stop and I turn and I go for a ride And I get to the bottom and I see you again Yeah yeah yeah  Well do you, don't you want me to make you I'm coming down fast but don't let me break you Tell me tell me tell me the answer You may be a lover but you ain't no dancer  Look out helter skelter helter skelter Helter skelter  Look out helter skelter She's coming down fast Yes she is Yes she is coming down fast  (My head is spinning, ooh...  Ha ha ha, ha ha ha, alright!  I got blisters on my fingers!",False,"[""John Lennon""]","[""Lennon""]"
Help!,Help!,1965,"Help, I need somebody, Help, not just anybody, Help, you know I need someone, help. When I was younger, so much younger than today, I never needed anybody's help in any way. But now these days are gone, I'm not so self assured, Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me. And now my life has changed in oh so many ways, My independence seems to vanish in the haze. But every now and then I feel so insecure, I know that I just need you like I've never done before. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me. When I was younger, so much younger than today, I never needed anybody's help in any way. But now these daya are gone, I'm not so self assured, Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down And I do appreciate you being round. Help me, get my feet back on the ground, Won't you please, please help me, help me, help me, oh",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Helter Skelter,The Beatles,1968,"When I get to the bottom I go back to the top of the slide Where I stop and I turn and I go for a ride Till I get to the bottom and I see you again Yeah yeah yeah hey Do you, don't you want me to love you I'm coming down fast but I'm miles above you Tell me tell me tell me come on tell me the answer Well you may be a lover but you ain't no dancer Now helter skelter helter skelter Helter skelter yeah Ooh! Will you, won't you want me to make you I'm coming down fast but don't let me break you Tell me tell me tell me the answer You may be a lover but you ain't no dancer Look out helter skelter helter skelter Helter skelter ooh Look out, cos here she comes When I get to the bottom I go back to the top of the slide And I stop and I turn and I go for a ride And I get to the bottom and I see you again Yeah yeah yeah Well do you, don't you want me to make you I'm coming down fast but don't let me break you Tell me tell me tell me the answer You may be a lover but you ain't no dancer Look out helter skelter helter skelter Helter skelter Look out helter skelter She's coming down fast Yes she is Yes she is coming down fast [My head is spinning, ooh... Ha ha ha, ha ha ha, alrgiht! I got blisters on my fingers!]",False,"[""Paul McCartney""]","[""McCartney""]"
Her Majesty,Abbey Road,1969,"Her Majesty's a pretty nice girl But she doesn't have a lot to say Her Majesty's a pretty nice girl But she changes from day to day  I want to tell her that I love her a lot But I gotta get a bellyful of wine Her Majesty's a pretty nice girl Someday I'm going to make her mine, oh yeah Someday I'm going to make her mine",False,"[""Paul McCartney""]","[""McCartney""]"
Here Comes the Sun,Abbey Road,1969,"Here comes the sun, here comes the sun, And I say it's all right Little darling, it's been a long cold lonely winter Little darling, it feels like years since it's been here Here comes the sun, here comes the sun And I say it's all right Little darling, the smiles returning to their faces Little darling, it seems like years since it's been here Here comes the sun, here comes the sun And I say it's all right Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Sun, sun, sun, here it comes... Little darling, I feel that ice is slowly melting Little darling, it seems like years since it's been clear Here comes the sun, here comes the sun, And I say it's all right Here comes the sun, here comes the sun, It's all right, it's all right",False,"[""George Harrison""]","[""Harrison""]"
"Here, There and Everywhere",Revolver,1966,"To lead a better life I need my love to be here...  Here, making each day of the year Changing my life with the wave of her hand Nobody can deny that there's something there  There, running my hands through her hair Both of us thinking how good it can be Someone is speaking but she doesn't know he's there  I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share  Each one believing that love never dies Watching her eyes and hoping I'm always there  I want her everywhere and if she's beside me I know I need never care But to love her is to need her everywhere Knowing that love is to share  Each one believing that love never dies Watching her eyes and hoping I'm always there  I will be there and everywhere Here, there and everywhere",False,"[""Paul McCartney""]","[""McCartney""]"
Hey Bulldog,Yellow Submarine,1968,"Sheepdog Standing in the rain, Bullfrog Doing it again Some think that happinness is measured out in years You don't know what it's like to listen to your fears Child-like No one understands, Jack knife In your sweaty hands, Some think that happiness is measured out in miles What makes you think you're something special when you smile You can talk to me, if you're lonely you can talk to me Big man Walking in the park Whigwam Frightened of the dark Some think that happiness is measured out in you You think you know me but you haven't got a clue You can talk to me, if you're lonely you can talk to me",False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
Hey Jude,1967-1970,1968,"Hey jude, don't make it bad. Take a sad song and make it better. Remember to let her into your heart, Then you can start to make it better. Hey jude, don't be afraid. You were made to go out and get her. The minute you let her under your skin, Then you begin to make it better. And anytime you feel the pain, hey jude, refrain, Don't carry the world upon your shoulders. For well you know that it's a fool who plays it cool By making his world a little colder. Hey jude, don't let me down. You have found her, now go and get her. Remember to let her into your heart, Then you can start to make it better. So let it out and let it in, hey jude, begin, Youre waiting for someone to perform with. And don't you know that it's just you, hey jude, you'll do, The movement you need is on your shoulder. Hey jude, don't make it bad. Take a sad song and make it better. Remember to let her under your skin, Then you'll begin to make it Better better better better better better, oh. Na na na na na ,na na na, hey jude...",False,"[""Paul McCartney""]","[""McCartney""]"
Hippy Hippy Shake,Live at the BBC,1963,,True,"[""Chan Romero""]","[""McCartney""]"
Hold Me Tight,With the Beatles,1963,"It feels so right now. Hold me tight, Tell me I'm the only one, And then I might, Never be the lonely one. So hold me tight, Tonight, tonight, It's you, you, you, you. Hold me tight, Let me go on loving you Tonight, tonight, Making love to only you. So hold me tight, Tonight, tonight, It's you, you, you, you, you Don't know, What it means to hold you tight, Being here alone tonight, With you, It feels so right now.",False,"[""Paul McCartney"", ""John Lennon""]","[""McCartney""]"
Honey Don't,Beatles for Sale,1964,,True,"[""Carl Perkins""]","[""Starr""]"
Honey Pie,The Beatles,1968,"She was a working girl North of England way Now she's hit the big time In the USA And if she could only hear me This is what I'd say Honey pie you are making me crazy I'm in love but I'm lazy So won't you please come home Oh honey pie my position is tragic Come and show me the magic Of your Hollywood song You became a legend of the silver screen And now the thought of meeting you Makes me weak in the knee Oh honey pie you are driving me frantic Sail across the Atlantic To be where you belong Honey pie come back to me, oh Yeah I like it like that, oh ah I like this kind of hot kind of music Hot kind of music Play it to me, play it to me, honey, the blues Will the wind that blew her boat Across the sea Kindly send her sailing back to me Honey pie you are making me crazy I'm in love but I'm lazy So won't you please come home Come, come back to me, honey pie Oooooooooooh oh Oh oh oh oh oh oh oh Honey pie, honey pie",False,"[""Paul McCartney""]","[""McCartney""]"
The Honeymoon Song,Live at the BBC,1963,,True,"[""Mikis Theodorakis"", ""Sansom""]","[""McCartney""]"
How Do You Do It?,Anthology 1,1962,,True,"[""Mitch Murray""]","[""Lennon""]"
I Am the Walrus,Magical Mystery Tour,1967,"I am he as you are he as you are me and we are all together. See how they run like pigs from a gun, see how they fly. I'm crying. Sitting on a cornflake, waiting for the van to come. Corporation tee-shirt, stupid bloody tuesday. Man, you been a naughty boy, you let your face grow long. I am the eggman, they are the eggmen. I am the walrus, goo goo g'joob. Mister city policeman sitting Pretty little policemen in a row. See how they fly like Lucy in the Sky, see how they run. I'm crying, I'm crying. I'm crying, I'm crying. Yellow mother custard, dripping from a dead dog's eye. Crabalocker fishwife, pornographic priestess, Boy, you been a naughty girl you let your knickers down. I am the eggman, they are the eggmen. I am the walrus, goo goo g'joob. Sitting in an english garden waiting for the sun. If the sun don't come, you get a tan From standing in the english rain. I am the eggman, they are the eggmen. I am the walrus, goo goo g'joob goo goo g'joob. Expert textpert choking smokers, Don't you think the joker laughs at you? See how they smile like pigs in a sty, See how they snied. I'm crying. Semolina pilchard, climbing up the eiffel tower. Elementary penguin singing Hari Krishna. Man, you should have seen them kicking edgar allan poe. I am the eggman, They are the eggmen. I am the walrus, goo goo g'joob goo goo g'joob goo goo g'joob. Goo goo g'joob goo",False,"[""John Lennon""]","[""Lennon""]"
I Call Your Name,"""Long Tall Sally"" EP",1964,I call your name but you're not there Was I to blame for being unfair Oh I can't sleep at night Since you've been gone I never weep at night I can't go on Don't you know I can't take it I don't know who can I'm not goin' to mayayake it I'm not that kind of man Oh I can't sleep at night But just the same I never weep at night I call your name Aww Don't you know I can't take it I don't know who can I'm not goin' to mayayake it I'm not that kind of man Oh I can't sleep at night But just the same I never weep at night I call your name I call your name I call your name I call your name,False,"[""John Lennon""]","[""Lennon""]"
I Don't Want to Spoil the Party,Beatles for Sale,1964,"I don't want to spoil the party so I'll go, I would hate my disappointment to show, There's nothing for me here, So I will disappear, If she turns up while I'm gone please let me know. I've had a drink or two and I don't care, There's no fun in what I do if she's not there, I wonder what went wrong, I've waited far too long, I think I'll take a walk and look for her. Though tonight she's made me sad, I still love her, If I find her I'll be glad, I still love her. I don't want to spoil the party so I'll go, I would hate my disappointment to show, There's nothing for me here so I will disappear, If she turns up while I'm gone please let me know. Though tonight she's made me sad, I still love her, If I find her I'll be glad, I still love her. I've had a drink or two and I don't care, There's no fun in what I do if she's not there, I wonder what went wrong I've waited far too long, I think I'll take a walk and look for her.",False,"[""John Lennon""]","[""Lennon"", ""with McCartney""]"
I Feel Fine,A Collection of Beatles Oldies,1964,"Baby's good to me, you know, She's happy as can be, you know, She said so. I'm in love with her and I feel fine. Baby says she's mine, you know, She tells me all the time, you know, She said so. I'm in love with her and I feel fine. I'm so glad that she's my little girl. She's so glad, she's telling all the world That her baby buys her things, you know. He buys her diamond rings, you know, She said so. She's in love with me and I feel fine, mmm. Baby says she's mine, you know, She tells me all the time, you know, She said so. I'm in love with her and I feel fine. I'm so glad that she's my little girl. She's so glad, she's telling all the world That her baby buys her things, you know. He buys her diamond rings, you know, She said so. She's in love with me and I feel fine She's in love with me and I feel fine, mmm.",False,"[""John Lennon""]","[""Lennon""]"
I Forgot to Remember to Forget,Live at the BBC,1964,I forgot to remember to forget her I can't seem to get her off my mind I thought I'd never miss her But I've found out somehow I think about her almost all the time Well the day she went away I made myself a promise That I'd soon forget we'd ever met But something sure is wrong Cos I'm so blue and lonely I forgot to remember to forget Well the day she went away I made myself a promise That I'd soon forget we'd ever met But something sure is wrong Cos I'm so blue and lonely I forgot to remember to forget,True,"[""Stan Kesler"", ""Charlie Feathers""]","[""Harrison""]"
I Got a Woman,Live at the BBC,1963,"Well, I got a woman way cross town She's good to me, oh ho yeah Said I got a woman way cross town She's good to me, oh yeah She gives me money everytime I need Yes, you know she's a kind of friend indeed Said I got a woman way cross town She's good to me, oh ho yeah She says she loves me early in the morning Just for me, oh ho yeah She says she loves me early in the morning Just for me, oh yeah She says she loves me just for me, yeah You know she loves me so tenderly Said I got a woman way cross town She's good to me, oh yeah Ow! She's there to love me All day and night Never grumbles or fusses Just treats me right Never runnin' in the streets Leave me alone She knows a woman's place Is right back there with her hanging around the home Got a woman way cross town She's good to me, oh yeah Well, I got a woman way cross town She's good to me, oh yeah Well, she's my baby, don't you understand That I, I, I, I, I'm her loving man Said I got a woman way cross town She's good to me, oh ho yeah Well, that much is alright Well, that much is alright I got a woman Way cross town She's good to me Oh ho ho yeah",True,"[""Ray Charles""]","[""Lennon""]"
I Got to Find My Baby,Live at the BBC,1963,I'm gonna search this town From door to door The love I crave I can't find no more I got to find my baby I declare there ain't no lie I ain't had no real good loving Since that woman said goodbye You know I hate to see the sun Sinking to the west Cos I know my whole life's Gonna be one solid mess I got to find my baby I declare there ain't no lie I ain't had no real good loving Since that woman said goodbye Well ever since the day That she said we were through I've been nervous And shook up too I got to find my baby I declare there ain't no lie I ain't had no real good loving Since that woman said goodbye Well I don't care if the last thing I ever done in my life Is to find that little woman Make her my wife I got to find my baby I declare there ain't no lie I ain't had no real good loving Since that woman said goodbye,True,"[""Chuck Berry""]","[""Lennon""]"
I Just Don't Understand,Live at the BBC,1963,Well you call me your baby When you hold in my hand But the way that you hurt me I just don't understand Well you say that you need me Like an ocean needs sand But the way you deceive me I just don't understand Well you know that I love you More than anyone can But a one-sided love I just don't understand Well you know that I love you More than anyone can But a one-sided love I just don't understand Well you call me your baby When you hold in my hand Oh how you can hurt me I just don't understand,True,"[""Marijohn Wilkin"", ""Kent Westberry""]","[""Lennon""]"
I Lost My Little Girl,,1962,Well I Woke Up Late This Morning My Head Was In The Whirl Only When I Realized I Lost My Little Girl Oh Oh Oh Oh  Well Her Clothes Were Not Expensive Her Hair Didn't Always Curl I Don't Know Why I Loved Her But I Loved My Little Girl Oh Oh Oh Oh  Well Gather Round People Let Me Tell You The Story The Very First Song I Wrote,False,"[""Paul McCartney""]","[""Lennon""]"
